City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,ouarzazat,30.9189,-6.8934,86.29,17,40,14.97,MA,1686240666
330,hithadhoo,-0.6,73.0833,83.82,67,15,2.19,MV,1686240666
331,gubkinskiy,64.434,76.5026,46.8,70,99,12.3,RU,1686240667
332,douz,33.4663,9.0203,95.92,21,80,5.44,TN,1686240667
333,jinchang,38.4953,102.1739,74.28,19,93,3.96,CN,1686240667
334,faranah,10.0404,-10.7434,82.04,77,98,3.85,GN,1686240667
335,sovetskaya gavan',48.9723,140.2878,48.65,98,100,2.98,RU,1686240667
336,beroroha,-21.6667,45.1667,76.78,41,9,1.39,MG,1686240667
337,utrik,11.2278,169.8474,80.13,82,96,21.79,MH,1686240667
338,burang,30.25,81.1667,39.52,81,75,4.43,CN,1686240667
339,venado,22.9333,-101.0833,76.21,41,0,5.48,MX,1686240667
340,sinop,41.7711,34.8709,61.23,89,87,4.99,TR,1686240668
341,tamiahua,21.2667,-97.45,85.86,73,48,8.81,MX,1686240379
342,naze,28.3667,129.4833,74.17,90,99,15.01,JP,1686240668
343,yunyang,33.4474,112.7142,76.8,48,78,4.99,CN,1686240668
344,lae,-6.7221,146.9847,76.3,92,100,4.16,PG,1686240668
345,lodja,-3.4833,23.4333,81.14,57,96,1.01,CD,1686240668
346,acaponeta,22.4964,-105.3594,87.49,45,0,4.32,MX,1686240668
347,gaspe,48.8334,-64.4819,46.62,100,100,3.44,CA,1686240507
348,ad dawadimi,24.5077,44.3924,95.07,10,2,14.2,SA,1686240668
349,trapani,37.8333,12.6667,76.28,56,88,4.36,IT,1686240669
350,vodnyy,63.5046,53.4095,49.33,47,90,2.91,RU,1686240669
351,taltal,-25.4,-70.4833,66.0,69,19,4.85,CL,1686240669
352,fort st. john,56.2499,-120.8529,59.9,60,9,4.59,CA,1686240669
353,arteche,12.2645,125.4048,77.76,92,100,5.44,PH,1686240669
354,kudahuvadhoo,2.6708,72.8944,83.97,75,48,10.51,MV,1686240669
355,choyr,46.3611,108.3611,58.82,46,19,4.61,MN,1686240669
356,grand falls-windsor,48.9332,-55.6649,60.51,77,66,3.0,CA,1686240669
357,sferracavallo,42.726,12.0956,80.26,66,17,8.25,IT,1686240670
358,kolonia town,6.964,158.206,82.63,76,100,4.9,FM,1686240673
359,dimapur,25.9,93.7333,85.51,55,77,3.36,IN,1686240673
360,am timan,11.0297,20.2827,91.72,39,72,1.74,TD,1686240673
361,parnamirim,-5.9156,-35.2628,84.54,60,79,12.62,BR,1686240673
